Metadata_Source,Metadata_Batch,Metadata_Plate,Metadata_PlateType
source_1,Batch1_20221004,UL000109,COMPOUND_EMPTY
source_1,Batch1_20221004,UL001641,COMPOUND
source_1,Batch1_20221004,UL001643,COMPOUND
source_1,Batch1_20221004,UL001645,COMPOUND
source_1,Batch1_20221004,UL001651,COMPOUND
source_1,Batch1_20221004,UL001653,COMPOUND
source_1,Batch1_20221004,UL001655,COMPOUND
source_1,Batch1_20221004,UL001659,COMPOUND_EMPTY
source_1,Batch1_20221004,UL001661,COMPOUND_EMPTY
source_1,Batch2_20221006,UL001647,COMPOUND
source_1,Batch2_20221006,UL001649,COMPOUND
source_1,Batch2_20221006,UL001671,COMPOUND
source_1,Batch2_20221006,UL001673,COMPOUND
source_1,Batch2_20221006,UL001675,COMPOUND
source_1,Batch2_20221006,UL001677,COMPOUND
source_1,Batch2_20221006,UL001679,COMPOUND
source_1,Batch3_20221010,UL000087,COMPOUND
source_1,Batch3_20221010,UL000089,COMPOUND
source_1,Batch3_20221010,UL000091,COMPOUND
source_1,Batch3_20221010,UL001665,COMPOUND
source_1,Batch3_20221010,UL001667,COMPOUND
source_1,Batch3_20221010,UL001669,COMPOUND
source_1,Batch3_20221010,UL001785,COMPOUND
source_1,Batch3_20221010,UL001787,COMPOUND
source_1,Batch4_20221012,UL000081,COMPOUND
source_1,Batch4_20221012,UL000083,COMPOUND
source_1,Batch4_20221012,UL000093,COMPOUND
source_1,Batch4_20221012,UL000095,COMPOUND
source_1,Batch4_20221012,UL000097,COMPOUND
source_1,Batch4_20221012,UL001765,COMPOUND
source_1,Batch4_20221012,UL001769,COMPOUND
source_1,Batch4_20221012,UL001771,COMPOUND
source_1,Batch5_20221030,UL000561,COMPOUND_EMPTY
source_1,Batch5_20221030,UL001713,COMPOUND
source_1,Batch5_20221030,UL001719,COMPOUND
source_1,Batch5_20221030,UL001773,COMPOUND
source_1,Batch5_20221030,UL001781,COMPOUND
source_1,Batch5_20221030,UL001783,COMPOUND
source_1,Batch5_20221030,UL001791,COMPOUND
source_1,Batch5_20221030,UL001793,COMPOUND
source_1,Batch5_20221030,UL001795,COMPOUND
source_1,Batch5_20221030,UL001797,COMPOUND
source_1,Batch5_20221030,UL001799,COMPOUND
source_1,Batch6_20221102,UL000577,COMPOUND
source_1,Batch6_20221102,UL000579,COMPOUND
source_1,Batch6_20221102,UL000581,COMPOUND
source_1,Batch6_20221102,UL000583,COMPOUND
